app_id,label_flag,label_flag_type,privacy_flag,privacy_flag_type,if_equal
digifit.virtuagym.client.android.coaching,1,,1,,
com.loan.calculator.autoloan.mortgages,1,,1,,
com.DNSstudio.ShogunWarAndEmpire,1,,1,,
com.rvappstudios.magnifyingglass,1,,1,,
merge.games,1,,1,,
app.reflection.reflection,1,,1,,
com.dvloper.grannychaptertwo,1,,1,,
com.tinytitanstudios.TrainChu,1,,1,,
mermaid.food.games,1,,1,,
com.watchfacestudio.nerdan_urx136,1,,1,,
com.capiratech.marspa,1,,1,,
com.storytoys.hungry.caterpillar.play.school.abc.kids.books.free.android.googleplay,1,,1,,
com.ligaaleitamentobrasilapp.mobile,1,,1,,
com.coloros.alarmclock,1,,1,,
com.watchfacestudio.samwatch_digital_titanes_2021,1,,1,,
com.scrbrd.roster,1,,1,,
jigsaw.puzzle.rompe.cabezas.free.puxzles.pyzzles,1,,1,,
com.abercrombie.abercrombie,1,,1,,
com.dobroapps.anti.stress.toys,1,,1,,
com.prairieit.thephotostick,1,,1,,
com.Maple.SpainQuiz,1,,1,,
com.smallbiz.app,1,,1,,
com.ekwatchfaces.sportsclock,1,,1,,
mobile.appFqYHTJvP1c,1,,1,,
com.bubble.shooter.blast,1,,1,,
mylittleprincess.castle.free,1,,1,,
com.mmmoussa.iqra,1,,1,,
com.dobrogamesdg.popit.trading.fidget.toys,1,,1,,
air.de.sponsorads.thehealing,1,,1,,
com.defianttech.diskdiggerpro,1,,1,,
com.watchfacestudio.pradox142,1,,1,,
com.SwellGames.IdleMonsterTDEvolved,1,,1,,
com.hstack.newpinball,1,,1,,
net.kamptner.sunsetracer,1,,1,,
com.parents_care.change_your_thinking_and_change_your_life,1,,1,,
com.ltgames.elona,1,,1,,
woofz.dog.training.app,1,,1,,
com.garmin.android.apps.variamobile,1,,1,,
com.donutgames.sundaylawn,1,,1,,
com.bemoreeffective.app,1,,1,,
com.S2bytes.touch,1,,1,,
jp.co.goodroid.hyper.laser,1,,1,,
com.peoplevine.com.welcome.craneclubmembers.com,1,,1,,
com.netflix.NGP.CocomelonPlayWithJJ,1,,1,,
com.brainium.spiderfree,1,,1,,
com.goodwallpapers.summer_4k,1,,1,,
com.watchfacestudio.db031evolve,1,,1,,
com.appsamimanera.citationsvictorhugo,1,,1,,
com.kwalee.hexajourney,1,,1,,
com.premiumsoftware.animalsoundsandphotos,1,,1,,
com.atistudios.italk.de,1,,1,,
tidymylife.sorting.puzzle.match.master,1,,1,,
com.etips.chiang.rai.travel.guide,1,,1,,
com.geishatokyo.trafficrun,1,,1,,
com.spwatch.lumen2,1,,1,,
com.ffsvideogames.dc7,1,,1,,
ai.metaverse.epsonprinter,1,,1,,
com.radiobeachbooster.radiobeachbooster,1,,1,,
com.tech.downloader,1,,1,,
com.h43.dentalmonitoring,1,,1,,
com.leftright.women.fashion.games,1,,1,,
com.buildsafe.app,1,,1,,
com.highfivestudio.bluecatpuzzlejigsaw,1,,1,,
finish.drawing.game,1,,1,,
com.playdatedigital.DinoIsland,1,,1,,
com.lesterelectrical.clubcarpack,1,,1,,
com.popreach.dumbways,1,,1,,
com.kidshouse.cosmetic.makeup.kit.factory_princessmakeupsalon,1,,1,,
com.distinctivegames.rugbyleague22,1,,1,,
com.doll.pipprincess,1,,1,,
com.slot.jackpot.bonus,1,,1,,
com.katusapp.mobile,1,,1,,
com.etips.oslo.travel.guide,1,,1,,
com.Parkour.Master.Escape.Games,1,,1,,
com.eduven.cg.zagreb,1,,1,,
com.player.myiptv.myiptv,1,,1,,
com.watchfacestudio.the_district,1,,1,,
com.mobile.bizo.inpainting.nails,1,,1,,
info.camposha.kotlinjavaconverter,1,,1,,
com.istomgames.deadzmeat,1,,1,,
media.album.photo.gallery,1,,1,,
cat.mansion.merge.games,1,,1,,
com.watchfacestudio.AlmightyLCD,1,,1,,
com.cookapps.watersplash,1,,1,,
com.herocraft.game.zombiederby.pixel.survival,1,,1,,
co.ccc.wordworks2,1,,1,,
com.bbc.heyduggeespookybadge,1,,1,,
com.casualjoygames.screwproject,1,,1,,
com.onegame.toonbubble,1,,1,,
com.oristats.habitbull,1,,1,,
air.com.forqan.tech.puzzles.free,1,,1,,
jp.co.sfidante.okuru,1,,1,,
com.watchfacestudio.per20,1,,1,,
air.com.bitrhymes.bingo,1,,1,,
com.learnenglishspeaking.speak.english.fluently.grammar.tenses,1,,1,,
com.playgendary.coffeeshop3d,1,,1,,
com.newandromo.dev985792.app3529574,1,,1,,
com.FunEduApp.FunEduFarm,1,,1,,
com.cisco.cbdmobile,1,,1,,
com.neelamediatech.eatgolieat,1,,1,,
net.kayisoft.fruits,1,,1,,
com.zps.president.glvn,1,,1,,
com.hypercasualgamesfree.snakemaster3d,1,,1,,
com.magisterapp.foresta,1,,1,,
com.gosub60.sol5,1,,1,,
com.watchfacestudio.lihtnes043,1,,1,,
com.zd.auto.master.vehicle,1,,1,,
com.watchfacestudio.kp390,1,,1,,
com.free.sniper.contract.hitman.shooter,0,empty privacy block,1,,
com.xingyun.oceanpartymatch.free,1,,1,,
com.jojoapps.medicationlist,1,,1,,
net.odasoft.catchamouse,1,,1,,
lens.ai.reverse.image.chatgpt,1,,1,,
com.gw.digib7,1,,1,,
com.watchfacestudio.Getlucky,1,,1,,
com.thecarousell.Carousell,1,,1,,
com.hg.NbFH,1,,1,,
eu.bandainamcoent.mytamagotchiforever,1,,1,,
com.origin.rod,1,,1,,
com.watchfacestudio.bigdgtmod,1,,1,,
com.funcell.realhaircut,1,,1,,
com.d03b.driving.bike.stunt.master,1,,1,,
breakthroughapps.com.samgach,1,,1,,
rk.android.app.pixelsearch,1,,1,,
com.watchfacestudio.pastelfloralwatchface,1,,1,,
ginlemon.mariannamaterialiris,1,,1,,
idle.farming.game,1,,1,,
com.whisperarts.white.noise.whispy,1,,1,,
hd.camera.filter,1,,1,,
com.hyperbeard.alchademy,1,,1,,
swing.master.shooter.spider.hero,1,,1,,
br.com.tapps.pressstart,1,,1,,
com.werewolfapps.online,1,,1,,
com.alokozayshop.app,1,,1,,
com.riatech.germanRecipesNew,1,,1,,
waterreminder.hydration.trackwater,1,,1,,
com.alchemy.magicmerge.infinite,1,,1,,
org.smart_guide.smartguide.berchtesgaden,1,,1,,
org.joinvroom.dailyvroom,1,,1,,
com.readygo.aps.gp,1,,1,,
org.schiphol,1,,1,,
com.barberr,1,,1,,
photoeditor.plus.nuts,1,,1,,
com.clarkstudio.mergemakeup,1,,1,,
com.headupgames.shiny,1,,1,,
com.cimmaronsoftware.mortgagemanager,1,,1,,
com.edurev.ugcnet,1,,1,,
com.scrbrd.orange_speller,1,,1,,
com.pixel.number.art.color.sanbox.amazing,1,,1,,
com.actiontourguide.saguaro,1,,1,,
com.watchfacestudio.ghostyboo,1,,1,,
com.iscoolentertainment.poker.duel,1,,1,,
com.alayacare.careworkerapp,1,,1,,
com.koncius.wallpaper,1,,1,,
com.barisefe.germanynewspapers,1,,1,,
hpr.horoscope.palmreader,1,,1,,
de.twokit.video.tv.cast.browser.roku.pro,1,,1,,
com.bloggerpro.android,1,,1,,
com.dominusmathias.dm117,1,,1,,
com.flower.language.diy.keyboard.wallpaper.theme,1,,1,,
com.jamcity.superchef,1,,1,,
com.eastsidegames.milkinc,1,,1,,
jp.co.sony.imagingedgemobile.transfer,1,,1,,
com.kevinbradford.games.secondgradefree,1,,1,,
radio.usa,1,,1,,
com.facer.fcr4d3nnZlBKb,1,,1,,
com.renderedideas.carromparty,1,,1,,
com.sinyee.babybus.forest,1,,1,,
com.qrcode.qrcodereader.qrscanner.qrcreator2020,1,,1,,
com.breakmt.perdition,1,,1,,
com.avaambrosiovisionacademy.mobile,1,,1,,
com.blarma.wordxy,1,,1,,
com.mediquo.main,1,,1,,
com.mirai.nextbots.survival.backrooms.hunter,1,,1,,
at.orf.android.orfsteiermark,1,,1,,
sergeiv.plumberhandbook,1,,1,,
com.doapps.android.mln.MLN_4efdd9a7c3363b38bf672c3b1f7499e9,0,empty privacy block,1,,
com.mrck.nomedia,1,,1,,
com.codesector.speedview,1,,1,,
com.redtkids.getwise,1,,1,,
org.libraryforall.elevate.esol,1,,1,,
hot.dog.games.kids.toddlers,1,,1,,
com.magzter.middleeastbusinessmagazineandnews,1,,1,,
com.cjin.pokegenie.standard,1,,1,,
hashtagmanager.app,1,,1,,
com.crossfield.toyroom,1,,1,,
uk.co.hearst.harpersbazaar,1,,1,,
ai.sider.ChatGPT.android,1,,1,,
com.alexeymorozua.orbittime,1,,1,,
com.homework.helper,1,,1,,
com.coin.merge.sorting.master.puzzle.match,1,,1,,
com.doh.sahatna,1,,1,,
com.yalin.nfcreader,1,,1,,
com.dictionary.learnscience.science.biology.genetics,1,,1,,
io.supercent.cartslaprun,1,,1,,
com.anti.theft.alarm.animation.dont.touch.phone,1,,1,,
sandbox.art.sandbox,1,,1,,
com.nirmallabs.calendar2019,1,,1,,
com.watchfacestudio.walker2,1,,1,,
com.AAA.h049,1,,1,,
com.intellijoy.counting,1,,1,,
com.watchfacestudio.larteal,1,,1,,
com.ecoflow,1,,1,,
com.herocraft.game.free.mig29,1,,1,,
com.etips.belgrade.travel.guide,1,,1,,
com.yanshitian.intervaltimerandcounter,1,,1,,
com.indocipta.iqro,1,,1,,
com.zitga.ninja.stickman.legends,1,,1,,
com.albuquerquedesign.addigital021,1,,1,,
com.meetmaps.bihub,1,,1,,
com.sparklingsocietytycoon.jurassicdinosaurprehistoricpark,1,,1,,
com.entermate.stzb,1,,1,,
com.excel.spreadsheet.reader,1,,1,,
com.sudoku.game.puzzle.adventure,1,,1,,
com.internetdesignzone.nurseryrhymesfree,1,,1,,
com.DNSstudio.LegionsOfRome,1,,1,,
com.doublefs.halara,1,,1,,
